year		DOY		Ta		Tmin		Tmax		precip		rSSD		SRad		ET0		snow		PAR
2013		95		4.67		0.37		8.66		0.35		0		37.2		1.82		0.01		1.51
2013		96		5.12		2.52		9.42		0		0.02		45.13		1.71		0		1.83
2013		97		3.45		-0.65		6.15		0		0.01		41.73		1.59		0		1.69
2013		98		3.14		-0.96		7.24		3.99		0.01		42.1		1.74		0.61		1.71
2013		99		5.75		1.65		9.65		3.58		0.06		61.54		1.95		0.01		2.5
2013		100		8.87		4.87		12.67		3.34		0.31		145.42		2.2		0		5.91
2013		101		11.51		7.61		17.21		24		0.03		51.07		2.7		0		2.07
2013		102		8.47		5.97		14.37		3.92		0.31		147.89		2.28		0		6.01
2013		103		10.13		5.53		14.83		0		0.76		247.66		2.57		0		10.06
2013		104		13.15		4.36		20.25		0		0.99		272.78		3.76		0		11.08
2013		105		15.1		8.1		21.1		0		0.69		240.82		3.64		0		9.78
2013		106		15.81		11.21		20.41		0		0.57		219.89		3.16		0		8.93
2013		107		15.87		8.57		21.57		0		0.94		275.73		3.79		0		11.2
2013		108		16.18		11.08		22.68		12.19		0.6		229.55		3.64		0		9.32
2013		109		6.62		1.82		11.32		36.56		0		41.77		2.38		0.04		1.7
2013		110		3.72		0.62		6.32		1.05		0.01		46.35		1.64		0.07		1.88
2013		111		7.15		5.05		9.15		0.1		0		42.38		1.62		0		1.72
2013		112		8.49		6.49		10.89		0		0		42.68		1.78		0		1.73
2013		113		9.51		2.41		14.81		0		0.62		242.03		3.13		0		9.83
2013		114		12.17		3.47		19.47		0		0.96		291.44		3.93		0		11.83
2013		115		14.95		6.55		21.75		0		0.96		293.37		4.21		0		11.91
2013		116		14.48		11.68		18.68		6.74		0.14		102.64		2.84		0		4.17
2013		117		7.44		3.54		11.84		9.76		0		44.11		2.43		0		1.79
2013		118		6.46		3.66		9.06		0.04		0		44.38		1.9		0		1.8
2013		119		9.1		7.3		11		0.97		0		44.65		1.75		0		1.81
2013		120		10.38		8.58		13.38		0.07		0.05		67.34		2.1		0		2.73
2013		121		12.76		9.86		18.16		0.22		0.31		168.95		3.02		0		6.86
2013		122		12.41		8.21		19.01		19.33		0.36		186.39		3.42		0		7.57
2013		123		9.64		5.94		14.24		8.65		0.08		81.7		2.74		0		3.32
2013		124		10.58		7.58		14.18		1.96		0.03		59.82		2.54		0		2.43
2013		125		12		4.1		17		0.43		0.6		255.71		3.75		0		10.38
2013		126		12.2		9.6		15.6		0.78		0		46.43		2.59		0		1.89
2013		127		13.21		7.41		18.21		0.01		0.53		241.28		3.61		0		9.8
2013		128		14.47		6.17		20.97		3.2		0.71		282.52		4.41		0		11.47
2013		129		14.34		12.04		17.44		15.12		0.01		51.91		2.67		0		2.11
2013		130		10.47		8.67		12.07		2.12		0.03		61.65		1.87		0		2.5
2013		131		9.76		7.46		13.26		1.11		0.01		52.4		2.39		0		2.13
2013		132		8.77		4.57		11.57		1.08		0.16		120.38		2.55		0		4.89
2013		133		11.02		4.63		16.82		0.02		0.34		190		3.66		0		7.72
2013		134		13.72		5.42		20.42		0.19		0.79		304.18		4.46		0		12.35
2013		135		11.46		8.96		13.56		1.39		0		48.39		2.3		0		1.97
2013		136		10.56		8.46		14.06		11.01		0		48.58		2.47		0		1.97
2013		137		9.15		6.75		12.25		2.9		0.01		53.73		2.34		0		2.18
2013		138		12.03		4.04		18.53		4.38		0.64		280.31		4.21		0		11.38
2013		139		8.77		5.47		12.98		1.96		0.35		198.06		2.71		0		8.04
2013		140		10.16		7.56		14.26		0.49		0.19		137.03		2.71		0		5.56
2013		141		9.45		7.75		12.65		7.09		0		49.47		2.26		0		2.01
2013		142		8.77		6.97		10.37		1.26		0.02		59.68		1.84		0		2.42
2013		143		6.93		3.43		12.13		2.41		0.1		98.4		2.75		0		4
2013		144		4.68		2.28		9.18		1.28		0.15		121.42		2.24		0.02		4.93
2013		145		5.17		1.57		9.37		5		0.19		139.22		2.44		0.04		5.65
2013		146		6.83		4.03		10.13		1.56		0.07		85.02		2.32		0		3.45
2013		147		10.62		2.22		17.12		0.24		0.77		314.59		4.19		0		12.77
2013		148		10.71		4.71		17.51		23.61		0.29		181.21		3.91		0		7.36
2013		149		6		3.8		9.7		7.04		0.13		114		2.22		0.02		4.63
2013		150		8.56		4.46		13.36		0.16		0.36		208.17		3.03		0		8.45
2013		151		7.61		6.81		8.51		21.52		0		50.87		1.28		0		2.07
2013		152		9.61		7.71		10.91		8.53		0		50.98		1.89		0		2.07
2013		153		11.52		9.32		15.42		0.01		0.17		133.16		2.8		0		5.41
2013		154		10.24		6.54		15.44		0.01		0.34		202.63		3.25		0		8.23
2013		155		11.25		4.95		17.65		0		0.62		288.79		4.02		0		11.73
2013		156		14.96		6.36		22.96		0.65		0.79		324.17		5.2		0		13.16
2013		157		16.85		8.75		23.35		0.01		0.95		345.62		5.16		0		14.03
2013		158		17.22		8.62		23.92		0		0.97		347.94		5.35		0		14.13
2013		159		16.37		8.98		23.97		2.92		0.64		295.37		5.17		0		11.99
2013		160		14.51		11.31		20.01		10.05		0.12		111.6		3.73		0		4.53
2013		161		12.54		10.34		15.64		1.65		0		51.71		2.74		0		2.1
2013		162		15.41		11.71		20.21		0.01		0.53		267.63		3.8		0		10.87
2013		163		16.42		9.02		22.62		0.01		0.68		305.77		4.96		0		12.42
2013		164		18.75		11.25		26.95		3.99		0.83		333.69		5.69		0		13.55
2013		165		14.62		11.82		18.62		0.01		0.1		102.54		3.33		0		4.16
2013		166		18.88		11.38		25.28		0.18		0.47		250.38		5.38		0		10.17
2013		167		21.18		14.68		27.78		0.01		0.7		310.87		5.56		0		12.62
2013		168		23.36		15.86		29.86		0		0.82		332.89		6.07		0		13.52
2013		169		24.91		18.11		31.11		0		0.86		338.82		6.07		0		13.76
2013		170		24.01		15.61		30.61		0		0.75		321.06		6.38		0		13.04
2013		171		18.44		13.54		23.64		7.02		0.18		140.05		4.54		0		5.69
2013		172		17.01		13.41		22.31		0.96		0.41		230.97		4.09		0		9.38
2013		173		17.85		13.65		22.55		0		0.55		274.43		4.19		0		11.14
2013		174		14.48		10.28		17.18		1.41		0.05		77.9		3.34		0		3.16
2013		175		11.43		9.93		14.73		3.57		0.12		112.25		2.52		0		4.56
2013		176		11.92		7.82		15.52		0.01		0.23		161.66		3.25		0		6.56
2013		177		12.56		7.36		17.16		0		0.66		301.79		3.74		0		12.26
2013		178		10.94		5.84		15.74		0		0.08		92.71		3.55		0		3.76
2013		179		12.25		7.15		16.05		1.07		0.25		169.7		3.52		0		6.89
2013		180		12.32		10.52		14.62		7.37		0		51.77		2.39		0		2.1
2013		181		14.82		8.12		20.32		0.01		0.85		335.68		4.47		0		13.63
2013		182		16.96		7.76		24.26		0.12		0.96		348.01		5.53		0		14.13
2013		183		19.41		14.11		25.91		1.25		0.57		277.79		5		0		11.28
2013		184		16.31		14.71		18.41		7.65		0		51.52		2.56		0		2.09
2013		185		16.57		14.47		19.87		0.09		0.04		72.07		3.11		0		2.93
2013		186		18.43		13.53		23.04		0		0.77		320.79		4.35		0		13.03
2013		187		19.1		11.71		24.8		0		0.91		340.41		5.19		0		13.82
2013		188		19.83		13.13		24.92		0		0.93		341.95		5.01		0		13.89
2013		189		19.95		13.75		25.25		0		0.56		272.42		4.96		0		11.06
2013		190		19.14		13.74		24.94		0		0.47		245.86		4.78		0		9.98
2013		191		20.01		13.51		25.71		0		0.6		281.66		5.09		0		11.44
2013		192		19.52		13.52		24.82		0		0.93		339.13		4.83		0		13.77
2013		193		18.33		11.43		24.53		0		0.96		341.2		5.02		0		13.86
2013		194		18.58		10.18		25.58		0		0.93		337.5		5.47		0		13.71
2013		195		19.29		11.09		26.09		0		0.96		339.48		5.49		0		13.79
2013		196		19.72		11.83		26.23		0		0.95		337.67		5.42		0		13.71
2013		197		20.66		11.96		27.36		0.44		0.91		332.69		5.73		0		13.51
2013		198		20.19		15.99		26.59		1.18		0.22		151.46		4.69		0		6.15
2013		199		18.93		15.23		23.23		3.89		0.21		146.87		3.92		0		5.96
2013		200		19.12		15.02		26.02		3.06		0.37		207.18		4.61		0		8.41
2013		201		20.32		12.92		26.72		0.01		0.78		310.84		5.31		0		12.62
2013		202		22.49		15.49		28.79		0		0.93		329.6		5.5		0		13.38
2013		203		23.1		15.3		30.1		0		0.79		310.34		5.86		0		12.6
2013		204		22.78		16.78		29.08		6.87		0.54		255.98		5.29		0		10.39
2013		205		21.5		16.7		28.1		0		0.53		252.36		4.91		0		10.25
2013		206		23.25		16.65		29.95		0		0.71		292.92		5.52		0		11.89
2013		207		24.29		15.49		32.19		0		0.96		326.31		6.32		0		13.25
2013		208		25.74		17.84		32.74		0.01		0.88		316.87		6.15		0		12.87
2013		209		22.52		16.92		29.92		33.41		0.37		200.4		5.29		0		8.14
2013		210		16.24		14.54		18.04		37.64		0.05		71.7		2.31		0		2.91
2013		211		18.82		14.12		23.82		0		0.7		284.99		4.12		0		11.57
2013		212		20.25		13.25		26.45		0		0.99		321.71		4.97		0		13.06
2013		213		22.53		13.53		29.93		0		0.99		320.23		5.84		0		13
2013		214		24.12		16.72		31.32		0		0.93		313.77		5.7		0		12.74
2013		215		24.19		19.19		30.09		0		0.77		291.91		4.91		0		11.85
2013		216		21.48		16.88		26.28		1.14		0.69		276.41		4.25		0		11.22
2013		217		23.55		16.35		31.35		0		0.85		300.35		5.62		0		12.2
2013		218		22.77		18.07		28.37		3.56		0.59		252.54		4.54		0		10.26
2013		219		18.24		15.34		21.24		21		0		45.79		3.04		0		1.86
2013		220		17.46		15.26		19.76		6.68		0.03		59.29		2.58		0		2.41
2013		221		17.06		12.76		20.36		0.27		0.18		121.97		3.3		0		4.95
2013		222		17.62		11.62		23.02		0		0.91		298.89		4.08		0		12.14
2013		223		18.12		12.32		23.42		0		0.8		283.97		4.06		0		11.53
2013		224		19.5		12		26		0		0.92		296.34		4.71		0		12.03
2013		225		18.28		12.68		22.08		0		0.65		255.23		3.71		0		10.36
2013		226		15.25		9.25		20.15		0		0.73		268.17		3.64		0		10.89
2013		227		16.19		8.69		22.99		0		0.97		294.99		4.26		0		11.98
2013		228		19.16		10.66		26.76		0		0.93		289.9		4.88		0		11.77
2013		229		20.82		13.82		26.42		0		0.91		286.18		4.48		0		11.62
2013		230		21.4		14.5		28.1		9		0.8		271.66		4.69		0		11.03
2013		231		18.92		14.22		22.82		1.78		0.19		118.2		3.47		0		4.8
2013		232		16.32		11.32		20.72		0		0.98		285.93		3.35		0		11.61
2013		233		15.13		7.53		21.63		0		0.98		283.91		3.93		0		11.53
2013		234		16.9		9.2		24.4		0		0.92		277.27		4.27		0		11.26
2013		235		19.62		11.52		27.42		0		0.84		267.12		4.67		0		10.85
2013		236		16.17		11.97		19.57		28.3		0.09		77.21		2.91		0		3.14
2013		237		14.39		11.19		17.49		0.1		0.15		98.96		2.49		0		4.02
2013		238		14.24		8.34		19.84		0.01		0.53		208.84		3.33		0		8.48
2013		239		13.54		10.24		18.74		24.24		0.08		71.65		2.78		0		2.91
2013		240		14.62		11.52		19.22		0.08		0.29		142.64		2.71		0		5.79
2013		241		14.41		8.61		20.51		0.01		0.76		244.9		3.32		0		9.94
2013		242		15.82		9.32		22.42		0		0.91		259.61		3.61		0		10.54
2013		243		16.96		10.96		22.26		0		0.8		246.02		3.43		0		9.99
2013		244		15.64		10.74		20.54		0		0.39		165.67		3.05		0		6.73
2013		245		14.95		9.25		21.25		0		0.95		256.11		3.28		0		10.4
2013		246		15.47		6.67		23.67		0		0.97		255.19		3.93		0		10.36
2013		247		18.46		10.26		26.46		0		0.98		253.52		4.14		0		10.29
2013		248		19.69		12.29		26.89		0		0.96		249.99		4.03		0		10.15
2013		249		20.97		15.27		26.07		11.54		0.45		172.77		3.55		0		7.02
2013		250		18.23		14.43		23.13		20.31		0.45		171.16		2.93		0		6.95
2013		251		15.93		12.13		19.73		20.41		0.08		64.5		2.54		0		2.62
2013		252		14.44		11.54		18.24		1.65		0.74		219.35		2.26		0		8.91
2013		253		13.18		9.98		16.08		2.21		0.02		42.54		2.05		0		1.73
2013		254		10.66		6.96		13.16		1.47		0.02		42.12		1.88		0		1.71
2013		255		10.99		8.69		13.69		0.88		0.09		65.29		1.69		0		2.65
2013		256		12.82		8.22		17.72		0.01		0.84		221.93		2.46		0		9.01
2013		257		15.69		11.6		19.79		6.45		0.18		91.54		2.47		0		3.72
2013		258		14.58		12.78		17.48		1.53		0		33.63		1.79		0		1.37
2013		259		11.68		7.98		13.68		9.84		0		33.28		1.78		0		1.35
2013		260		9.86		6.46		12.46		2.31		0.11		68.11		1.69		0		2.77
2013		261		14.63		10.13		18.83		5.1		0.25		106.66		2.36		0		4.33
2013		262		12.16		9.16		15.66		0.05		0.24		102.91		1.87		0		4.18
2013		263		13.45		7.55		19.35		0.01		0.58		173.17		2.59		0		7.03
2013		264		12.35		6.25		18.55		0		0.81		200.82		2.52		0		8.15
2013		265		12.47		6.07		19.47		0		0.98		210.86		2.62		0		8.56
2013		266		12.13		4.93		19.33		0		0.97		207.95		2.65		0		8.44
2013		267		13.41		7.02		21.61		0		0.96		205.03		2.75		0		8.33
2013		268		15.56		8.36		22.26		0.07		0.91		199.67		2.84		0		8.11
2013		269		17.21		12.71		22.51		0		0.09		55.95		2.47		0		2.27
2013		270		17.39		12.79		23.59		0.01		0.5		146.84		2.57		0		5.96
2013		271		16.07		11.18		21.47		0.23		0.36		119.01		2.39		0		4.83
2013		272		14.26		12.76		16.06		12.92		0		28.66		1.27		0		1.16
2013		273		13.94		11.94		17.14		0.54		0.01		31.18		1.55		0		1.27
2013		274		14.34		13.04		17.44		0.96		0.08		49.99		1.43		0		2.03
2013		275		13.49		11.59		16.79		0.06		0.09		51.97		1.49		0		2.11
2013		276		13.64		11.34		17.73		0.16		0.17		71.06		1.64		0		2.89
2013		277		15.35		12.15		19.05		21.08		0.07		45.55		1.78		0		1.85
2013		278		14.33		12.23		16.83		0.98		0.03		34.59		1.39		0		1.4
2013		279		13.29		10.89		16.69		0.04		0.07		44.38		1.49		0		1.8
2013		280		12.17		10.67		13.97		0.02		0		25.88		1.07		0		1.05
2013		281		12.57		11.37		14.57		0.02		0		25.54		1.05		0		1.04
2013		282		12.8		11.3		15		0.06		0		25.2		1.12		0		1.02
2013		283		7.28		3.58		11.68		21.46		0.09		46.81		1.35		0.01		1.9
2013		284		5.67		3.77		8.77		10.23		0.17		63.95		0.98		0.04		2.6
2013		285		5.67		3.47		9.47		9.93		0.25		79.26		1.05		0.04		3.22
2013		286		8.72		4.12		13.72		0.4		0.51		120.74		1.49		0		4.9
2013		287		10.31		8.31		13.01		5.73		0		23.55		1.09		0		0.96
2013		288		12		10		14.1		11.58		0		23.22		1.06		0		0.94
2013		289		12.47		9.67		15.27		1.78		0.23		71.3		1.24		0		2.9
2013		290		11.79		6.19		15.99		0.03		0.94		151.32		1.59		0		6.14
2013		291		8.49		2.79		14.59		0.01		0.71		134.15		1.52		0		5.45
2013		292		11.95		4.05		18.34		0.01		0.83		141.3		1.87		0		5.74
2013		293		11.66		7.16		15.06		10.54		0		21.65		1.36		0		0.88
2013		294		11.51		7.81		15.61		1.5		0.32		81.4		1.32		0		3.31
2013		295		11.01		6.61		17.11		0.63		0.5		105.22		1.49		0		4.27
2013		296		12		9		15.4		20.62		0		20.75		1.19		0		0.84
2013		297		10.79		5.9		13.89		0.02		0.58		111.17		1.25		0		4.51
2013		298		11.73		7.73		17.82		0.04		0.48		98.43		1.43		0		4
2013		299		12.74		6.64		20.43		5.81		0.73		121.26		1.71		0		4.92
2013		300		15.55		11.35		17.55		14.84		0.04		27.45		1.23		0		1.11
2013		301		15.75		9.95		21.35		21.94		0.82		123.71		1.66		0		5.02
2013		302		9.63		7.73		12.23		0.46		0.14		44.58		0.84		0		1.81
2013		303		7.68		2.78		10.88		0.01		0.8		119.06		1.03		0		4.83
2013		304		5.41		0.31		11.1		0.02		0.69		109.95		1.07		0		4.46
2013		305		7.17		2.57		11.27		1.14		0		18.24		1.02		0		0.74
2013		306		13.22		11.42		16.12		22.39		0.37		75.01		0.92		0		3.05
2013		307		8.22		5.42		11.72		6.48		0.11		36.68		0.88		0		1.49
2013		308		7.81		6.11		8.91		10.99		0		17.48		0.57		0		0.71
2013		309		6.93		5.03		9.53		3.94		0.16		43.42		0.69		0		1.76
2013		310		11.89		8.19		15.29		0.73		0.31		63.55		1.02		0		2.58
2013		311		13.6		9.3		17.3		0		0.22		50.81		1.13		0		2.06
2013		312		11.4		7.9		15.6		19.2		0.34		65.46		1.02		0		2.66
2013		313		7.83		5.73		10.13		2.66		0.59		89.46		0.66		0		3.63
2013		314		5.66		1.86		8.96		6.93		0.02		19.34		0.76		0.03		0.79
2013		315		3.48		0.78		6.68		0.01		0.85		103.02		0.62		0		4.18
2013		316		2.29		-0.81		6.59		0.05		0.85		101.66		0.65		0.02		4.13
2013		317		3.05		-0.35		6.05		0		0.16		38.94		0.62		0		1.58
2013		318		3.85		2.05		5.25		1.99		0.03		19.86		0.45		0.12		0.81
2013		319		2.64		1.44		3.74		0.02		0.04		21.1		0.35		0.01		0.86
2013		320		2.94		2.54		3.54		0		0		14.87		0.23		0		0.6
2013		321		3.34		2.14		4.84		0		0		14.69		0.39		0		0.6
2013		322		2.73		1.73		4.53		0		0		14.51		0.38		0		0.59
2013		323		2.49		0.49		4.99		5.25		0		14.33		0.47		1.7		0.58
2013		324		1.83		0.63		3.13		1.33		0		14.16		0.33		0.75		0.58
2013		325		0.37		-0.73		1.47		10.76		0		14		0.29		9.9		0.57
2013		326		0.07		-0.83		1.57		0.39		0.11		28.63		0.29		7.06		1.16
2013		327		1.65		0.45		2.85		1.09		0		13.69		0.31		0.68		0.56
2013		328		3.38		1.98		4.38		0.27		0		13.54		0.34		0.03		0.55
2013		329		0.08		-2.33		2.18		0		0.48		65.41		0.39		0		2.66
2013		330		-1.81		-3.51		0.19		0		0.72		80.4		0.31		0		3.26
2013		331		-2.99		-6.09		-0.39		0		0.92		87.44		0.35		0		3.55
2013		332		-3.07		-7.17		0.13		0		0.55		68.65		0.39		0		2.79
2013		333		-0.32		-3.42		2.08		3.95		0.08		23.03		0.4		3.83		0.94
2013		334		0.39		-2.11		2.09		1.56		0.33		49.63		0.36		1.43		2.02
2013		335		-1.65		-5.15		0.75		0.01		0.9		83.75		0.38		1.44		3.4
2013		336		-1.13		-4.63		1.57		0.01		0.96		84.58		0.4		1.45		3.43
2013		337		-2.7		-7.39		4.4		0.03		0.94		83.46		0.49		1.48		3.39
2013		338		-0.7		-6		7.79		0.04		0.95		83.07		0.6		0.62		3.37
2013		339		-0.1		-3		3.3		0.01		0.54		64.14		0.41		0.01		2.6
2013		340		2.56		-1.44		5.86		0.07		0.2		34.92		0.51		0.02		1.42
2013		341		-0.4		-4.1		4.4		0.01		0.98		82.03		0.47		0.01		3.33
2013		342		-1.77		-5.67		4.13		0		0.99		81.74		0.46		0.01		3.32
2013		343		-1.84		-6.44		6.45		0.02		0.8		76		0.52		0.03		3.09
2013		344		-1.79		-6.09		5.71		0.02		0.94		79.87		0.5		0.05		3.24
2013		345		-2.1		-6.8		5.49		0.06		0.96		79.94		0.5		0.11		3.25
2013		346		-4.36		-7.86		1.83		0.05		0.81		75.33		0.37		0.16		3.06
2013		347		-4.71		-7.51		-0.92		0.03		0.41		52.3		0.3		0.19		2.12
2013		348		-1.56		-5.76		4.64		1.16		0.15		28.53		0.47		1.35		1.16
2013		349		-0.55		-4.15		5.45		0.02		0.65		67.54		0.47		0.02		2.74
2013		350		-0.3		-5.7		8.09		0.01		0.87		76.41		0.58		0.01		3.1
2013		351		-0.62		-4.82		6.87		0.02		0.95		78.32		0.52		0.02		3.18
2013		352		0.42		-2.88		6.02		0.02		0.5		58.2		0.48		0.02		2.36
2013		353		2.19		-2.61		6.09		18.88		0		11.63		0.52		8.1		0.47
2013		354		2.18		-1.02		4.08		3.05		0		11.63		0.4		1.32		0.47
2013		355		0.67		-1.33		4.07		0.01		0.34		46.04		0.38		0.01		1.87
2013		356		5.27		-1.83		9.77		0.02		0.22		35.26		0.69		0		1.43
